MedicalTerm,Readcode
MGUS,"['BBm7.00', 'C331000', 'C331.00', 'C331.11', 'C332200', 'C332.00', 'C332z00']"
MND,"['7Q04100', 'F152000', 'F152100', 'F152111', 'F152200', 'F152300', 'F152400', 'F152.00', 'F152z00', 'F15..00', 'F15y.00', 'F15z.00']"
MS,"['666A.00', '666B.00', '8Cc0.00', '8Cc1.00', '8Cc2.00', '8Cc4.00', '8CS1.00', '8IAb.00', '9kG..00', '9mD0.00', '9mD1.00', '9mD..00', 'F200.00', 'F201.00', 'F202.00', 'F203.00', 'F204.00', 'F206.00', 'F207.00', 'F208.00', 'F20..00', 'F20..11', 'F20z.00']"
NHL,"['A789600', 'A789700', 'AyuC600', 'B600000', 'B600100', 'B600300', 'B600700', 'B600.00', 'B600z00', 'B601000', 'B601100', 'B601200', 'B601300', 'B601500', 'B601700', 'B601800', 'B601.00', 'B601z00', 'B602100', 'B602200', 'B602300', 'B602500', 'B602.00', 'B602z00', 'B60..00', 'B60y.00', 'B60z.00', 'B620000', 'B620100', 'B620200', 'B620300', 'B620500', 'B620800', 'B620.00', 'B620z00', 'B621000', 'B621300', 'B621400', 'B621500', 'B621800', 'B621.00', 'B621z00', 'B622.00', 'B622z00', 'B627000', 'B627100', 'B627200', 'B627300', 'B627400', 'B627500', 'B627600', 'B627700', 'B627800', 'B627900', 'B627911', 'B627A00', 'B627.00', 'B627.11', 'B627B00', 'B627C00', 'B627C11', 'B627D00', 'B627E00', 'B627F00', 'B627G00', 'B627W00', 'B627X00', 'B628000', 'B628100', 'B628200', 'B628300', 'B628400', 'B628500', 'B628600', 'B628700', 'B628.00', 'B62E100', 'B62E200', 'B62E300', 'B62E400', 'B62E500', 'B62E600', 'B62E700', 'B62E800', 'B62E900', 'B62EA00', 'B62E.00', 'B62Ew00', 'B62F000', 'B62F100', 'B62F200', 'B62F.00', 'B62F.11', 'B62x000', 'B62x100', 'B62x200', 'B62x400', 'B62x500', 'B62x.00', 'B62xX00', 'B62y000', 'B62y100', 'B62y200', 'B62y300', 'B62y400', 'B62y500', 'B62y600', 'B62y700', 'B62y800', 'B62y.00', 'B62yz00', 'BBg1000', 'BBg1.00', 'BBg1.11', 'BBg2.00', 'BBg2.11', 'BBg3.00', 'BBg4.00', 'BBg5.00', 'BBg6.00', 'BBg7.00', 'BBg8.00', 'BBgA.00', 'BBgB.00', 'BBg..00', 'BBgC.00', 'BBgC.11', 'BBgC.12', 'BBgD.00', 'BBgE.00', 'BBgG.00', 'BBgG.11', 'BBgG.12', 'BBgG.13', 'BBgH.00', 'BBgJ.00', 'BBgK.00', 'BBgL.00', 'BBgM.00', 'BBgN.00', 'BBgP.00', 'BBgQ.00', 'BBgR.00', 'BBgS.00', 'BBgT.00', 'BBgV.00', 'BBgz.00', 'BBh0.00', 'BBh2.00', 'BBh..00', 'BBk0.00', 'BBk0.11', 'BBk0.12', 'BBk0.13', 'BBk2.00', 'BBk3.00', 'BBk5.00', 'BBk7.00', 'BBk8.00', 'BBk..00', 'BBkz.00', 'BBl0.00', 'BBl1.00', 'BBl..00', 'BBlz.00', 'BBm0.00', 'BBm1.11', 'BBm5.00', 'BBm8.00', 'BBm9.00', 'BBmD.00', 'BBmF.00', 'BBmH.00', 'BBmJ.00', 'BBv0.00', 'BBv2.00', 'ByuD100', 'ByuD200', 'ByuD300', 'ByuDC00', 'ByuDD00', 'ByuDE00', 'ByuDF00', 'ByuDF11', 'M162800']"
OA,"['14G2.00', '2G26.00', '7P20400', 'N050000', 'N050100', 'N050111', 'N050112', 'N050200', 'N050300', 'N050400', 'N050500', 'N050600', 'N050700', 'N050.00', 'N050z00', 'N051000', 'N051100', 'N051200', 'N051300', 'N051400', 'N051500', 'N051600', 'N051700', 'N051800', 'N051900', 'N051A00', 'N051B00', 'N051C00', 'N051D00', 'N051E00', 'N051F00', 'N051G00', 'N051.00', 'N051z00', 'N052000', 'N052100', 'N052200', 'N052300', 'N052400', 'N052500', 'N052511', 'N052600', 'N052700', 'N052800', 'N052.00', 'N052z00', 'N053000', 'N053100', 'N053200', 'N053300', 'N053400', 'N053500', 'N053512', 'N053600', 'N053611', 'N053700', 'N053800', 'N053900', 'N053.00', 'N053z00', 'N054000', 'N054100', 'N054200', 'N054400', 'N054500', 'N054600', 'N054700', 'N054800', 'N054900', 'N054.00', 'N054z00', 'N05..00', 'N05..11', 'N05z000', 'N05z100', 'N05z400', 'N05z411', 'N05z412', 'N05z500', 'N05z511', 'N05z600', 'N05z611', 'N05z700', 'N05z711', 'N05z712', 'N05z713', 'N05z800', 'N05z900', 'N05zA00', 'N05zB00', 'N05zC00', 'N05zD00', 'N05zE00', 'N05zF00', 'N05zG00', 'N05zH00', 'N05zJ00', 'N05zK00', 'N05zL00', 'N05zM00', 'N05z.00', 'N05z.11', 'N05zN00', 'N05zP00', 'N05zQ00', 'N05zR00', 'N05zS00', 'N05zT00', 'N05zU00', 'N05zz00', 'Nyu2000', 'Nyu2100', 'Nyu2200', 'Nyu2400', 'Nyu2500', 'Nyu2511', 'Nyu2700', 'Nyu2800', 'Nyu2811', 'Nyu2900', 'Nyu2D00', 'Nyu2E00', 'Nyu2E11', 'Nyu2.00']"
PCB,"['1581.00', 'K587.00', 'K597.00', 'K59A.00', 'K59B.00']"
PCOS,"['C164.12', 'C165.00']"
PCV,"['B671.00', 'B671.11', 'B934.00', 'B934.11', 'B934.12', 'BBs0.00', 'BBs0.11']"
PD,"['E210.00', 'E212000', 'E212100', 'E212200', 'E212.00', 'E212z00', 'E213.00', 'E213.11', 'E213.12', 'E214000', 'E214100', 'E214.00', 'E214.11', 'E214z00', 'E215000', 'E215200', 'E215300', 'E215.00', 'E215.11', 'E215z00', 'E216.00', 'E216.11', 'E216.12', 'E216.13', 'E217.00', 'E217.11', 'E21..00', 'E21..11', 'E21y000', 'E21y100', 'E21y200', 'E21y300', 'E21y400', 'E21y500', 'E21y600', 'E21y700', 'E21y711', 'E21y.00', 'E21yz00', 'E21yz11', 'E21z.00', 'E21z.11', 'E2C3500', 'Eu60000', 'Eu60013', 'Eu60014', 'Eu60100', 'Eu60200', 'Eu60211', 'Eu60212', 'Eu60213', 'Eu60214', 'Eu60215', 'Eu60300', 'Eu60311', 'Eu60312', 'Eu60313', 'Eu60400', 'Eu60411', 'Eu60412', 'Eu60500', 'Eu60511', 'Eu60512', 'Eu60513', 'Eu60600', 'Eu60700', 'Eu60711', 'Eu60712', 'Eu60713', 'Eu60714', 'Eu60800', 'Eu60.00', 'Eu60y00', 'Eu60y11', 'Eu60y12', 'Eu60y13', 'Eu60y14', 'Eu60y16', 'Eu60z00', 'Eu60z11', 'Eu60z12', 'Eu61.00']"
PDA,"['7A01000', '7A01100', '7A01200', '7A01300', '7A01.00', '7A01.11', '7A01y00', '7A01z00', '7A02000', '7A02011', 'P70..00', 'P70..11']"
