MedicalTerm,Readcode
diabetes,"['C108.12', 'C108.13', 'C108011', 'C108012', 'C108211', 'C108212', 'C108411', 'C108412', 'C108511', 'C108512', 'C108711', 'C108712', 'C108811', 'C108812', 'C108911', 'C108912', 'C108A11', 'C108D11', 'C108E11', 'C108E12', 'C108F11', 'C108H11', 'C108J11', 'C108J12', 'C10E.00', 'C10E.11', 'C10E000', 'C10E100', 'C10E200', 'C10E300', 'C10E311', 'C10E400', 'C10E411', 'C10E500', 'C10E511', 'C10E600', 'C10E700', 'C10E711', 'C10E800', 'C10E900', 'C10E911', 'C10EA00', 'C10EA11', 'C10EB00', 'C10EC00', 'C10EC11', 'C10ED00', 'C10EE00', 'C10EF00', 'C10EG00', 'C10EH00', 'C10EJ00', 'C10EK00', 'C10EL00', 'C10EM00', 'C10EM11', 'C10EN00', 'C10EN11', 'C10EP00', 'C10EP11', 'C10EQ00', 'C109.12', 'C109.13', 'C109011', 'C109012', 'C109111', 'C109112', 'C109211', 'C109212', 'C109411', 'C109412', 'C109511', 'C109512', 'C109611', 'C109612', 'C109711', 'C109712', 'C109A11', 'C109B11', 'C109C11', 'C109C12', 'C109D11', 'C109D12', 'C109E11', 'C109E12', 'C109F11', 'C109F12', 'C109G11', 'C109G12', 'C109H11', 'C109H12', 'C109J00', 'C109J12', 'C109K00', 'C10F.00', 'C10F.11', 'C10F000', 'C10F011', 'C10F100', 'C10F200', 'C10F211', 'C10F300', 'C10F311', 'C10F400', 'C10F411', 'C10F500', 'C10F600', 'C10F611', 'C10F700', 'C10F711', 'C10F900', 'C10F911', 'C10FA00', 'C10FA11', 'C10FB00', 'C10FB11', 'C10FC00', 'C10FD00', 'C10FD11', 'C10FE00', 'C10FE11', 'C10FF00', 'C10FG00', 'C10FH00', 'C10FJ00', 'C10FJ11', 'C10FK00', 'C10FL00', 'C10FL11', 'C10FM00', 'C10FM11', 'C10FN00', 'C10FP00', 'C10FQ00', 'C10FR00']"
diverticuli,"['7718000.0', 'J23z300', 'J510000', 'J510100', 'J510200', 'J510300', 'J510400', 'J510500', 'J510600', 'J510700', 'J510800', 'J510900', 'J510.00', 'J510y00', 'J510z00', 'J511000', 'J511100', 'J511200', 'J511300', 'J511400', 'J511500', 'J511600', 'J511700', 'J511.00', 'J511y00', 'J511z00', 'J512000', 'J512100', 'J512200', 'J512300', 'J512400', 'J512500', 'J512600', 'J512700', 'J512800', 'J512.00', 'J512y00', 'J512z00', 'J513.00', 'J51..00', 'J51..11', 'J51z.00']"
dm_neuro,"['C106000', 'C106100', 'C106.00', 'C106.11', 'C106.12', 'C106.13', 'C106y00', 'C106z00', 'C108200', 'C108211', 'C108212', 'C108B00', 'C108B11', 'C108C00', 'C108J00', 'C108J11', 'C108J12', 'C109200', 'C109211', 'C109212', 'C109A00', 'C109A11', 'C109B00', 'C109B11', 'C109B12', 'C109H00', 'C109H11', 'C109H12', 'C10E200', 'C10E212', 'C10EB00', 'C10EC00', 'C10EC11', 'C10EC12', 'C10EJ00', 'C10F200', 'C10F211', 'C10FA00', 'C10FA11', 'C10FB00', 'C10FB11', 'C10FH00', 'C10FH11', 'F171100', 'F345000', 'F35z000', 'F372000', 'F372100', 'F372200', 'F372.00', 'F372.11', 'F372.12', 'F381300', 'F381311', 'F3y0.00', 'M271100']"
downs,"['PJ00.00', 'PJ01.00', 'PJ01.11', 'PJ02.00', 'PJ02.11', 'PJ0..00', 'PJ0..11', 'PJ0..12', 'PJ0z.00', 'PJ0z.11']"
dysmenorrhoea,"['1574.00', '1574.11', 'Eu45y11', 'K583000', 'K583100', 'K583.00', 'K583.11', 'K583.12', 'K583.13', 'K583.14']"
eating_dz,"['1467.00', 'E271.00', 'E275100', 'Eu50000', 'Eu50100', 'Eu50200', 'Eu50211', 'Eu50300', 'R036011']"
endometrial_hyper,"['K542000', 'K542100', 'K542200', 'K542.00', 'K542z00', 'K543000', 'K543100', 'K543200', 'K543.00', 'K543z00']"
endometriosis,"['7E0D800', 'BBL1.11', 'K500000', 'K500100', 'K500111', 'K500200', 'K500.00', 'K500z00', 'K501.00', 'K501.11', 'K502.00', 'K503000', 'K503100', 'K503200', 'K503300', 'K503.00', 'K503z00', 'K504000', 'K504100', 'K504.00', 'K504z00', 'K505000', 'K505100', 'K505200', 'K505.00', 'K505z00', 'K506.00', 'K50..00', 'K50..11', 'K50y000', 'K50y100', 'K50y200', 'K50y300', 'K50y.00', 'K50yz00', 'K50z.00', 'Kyu9000']"
entero_arthro,"['N031000', 'N031100', 'Nyu1400']"
enthesopathy,"['N040Q00', 'N04y300', 'N101.00', 'N21..00', 'N210.00', 'N210.11', 'N210.12', 'N211.00', 'N211000', 'N211011', 'N211100', 'N211200', 'N211300', 'N211400', 'N211500', 'N211600', 'N211700', 'N211800', 'N211z00', 'N211z11', 'N211z12', 'N212.00', 'N212000', 'N212100', 'N212200', 'N212300', 'N212400', 'N212500', 'N212z00', 'N213.00', 'N213000', 'N213100', 'N213111', 'N213200', 'N213211', 'N213300', 'N213400', 'N213500', 'N213z00', 'N214.00', 'N214000', 'N214100', 'N214200', 'N214300', 'N214z00', 'N215.00', 'N215000', 'N215100', 'N215200', 'N215300', 'N215400', 'N215500', 'N215600', 'N215700', 'N215800', 'N215900', 'N215A00', 'N215z00', 'N216.00', 'N216000', 'N216011', 'N216012', 'N216100', 'N216200', 'N216211', 'N216300', 'N216400', 'N216500', 'N216600', 'N216700', 'N216800', 'N216900', 'N216z00', 'N216z11', 'N217.00', 'N217.11', 'N217000', 'N217100', 'N217300', 'N217400', 'N217500', 'N217600', 'N217700', 'N217800', 'N217B00', 'N217C00', 'N217z00', 'N21y.00', 'N21z.00', 'N21z000', 'N21z100', 'N21z200', 'N21z211', 'N21z212', 'N21z213', 'N21z214', 'N21z215', 'N21z216', 'N21zz00', 'N220.00', 'N220000', 'N220100', 'N220300', 'N220311', 'N220312', 'N220313', 'N220400', 'N220411', 'N220412', 'N220413', 'N220500', 'N220511', 'N220512', 'N220513', 'N220514', 'N220600', 'N220700', 'N220900', 'N220A00', 'N220B00', 'N220C00', 'N220D00', 'N220E00', 'N220F00', 'N220G00', 'N220H00', 'N220J00', 'N220K00', 'N220L00', 'N220M00', 'N220N00', 'N220P00', 'N220Q00', 'N220R00', 'N220S00', 'N220T00', 'N220V00', 'N220W00', 'N220X00', 'N220Y00', 'N220z00', 'N220z11', 'N220z12', 'N220z13', 'N222000', 'N222100', 'N222200', 'N222400', 'N222z00', 'N223.00', 'N223.11', 'N224000', 'N224400', 'N224A00', 'N224A11', 'N225.00', 'N225000', 'N225100', 'N225111', 'N225112', 'N225z00', 'N226.00', 'N226000', 'N226100', 'N226200', 'N226300', 'N226400', 'N226500', 'N226600', 'N226700', 'N226800', 'N226900', 'N226A00', 'N226C00', 'N226D00', 'N226E00', 'N226F00', 'N226G00', 'N226M00', 'N226N00', 'N226y00', 'N226z00', 'N23y900', 'Nyu9100', 'Nyu9200', 'NyuA000', 'NyuA100', 'NyuA200', 'NyuA500', 'NyuA600', 'NyuAC00', 'NyuAD00', 'NyuAE00', 'NyuAJ00']"
epilepsy,"['1473.00', '1B1W.00', '1O30.00', '2126000.0', '212J.00', '6110.00', '6674.00', '667..00', '6677.00', '6678.00', '6679.00', '667A.00', '667B.00', '667C.00', '667D.00', '667E.00', '667F.00', '667G.00', '667H.00', '667J.00', '667K.00', '667L.00', '667M.00', '667N.00', '667P.00', '667Q.00', '667R.00', '667S.00', '667T.00', '667V.00', '667W.00', '667X.00', '667Z.00', '67AF.00', '67IJ000', '8BIF.00', '9Of3.00', '9Of4.00', '9Of5.00', '9Of6.00', '9Of7.00', 'Eu05212', 'Eu05y11', 'Eu06013', 'Eu80300', 'F132100', 'F132111', 'F132200', 'F142200', 'F250000', 'F250011', 'F250100', 'F250200', 'F250300', 'F250400', 'F250500', 'F250.00', 'F250y00', 'F250z00', 'F251000', 'F251011', 'F251100', 'F251111', 'F251200', 'F251300', 'F251400', 'F251500', 'F251.00', 'F251y00', 'F251z00', 'F252.00', 'F253.00', 'F253.11', 'F254000', 'F254100', 'F254200', 'F254300', 'F254400', 'F254500', 'F254.00', 'F254z00', 'F255000', 'F255011', 'F255012', 'F255100', 'F255200', 'F255300', 'F255311', 'F255400', 'F255500', 'F255600', 'F255.00', 'F255y00', 'F255z00', 'F256000', 'F256100', 'F256.00', 'F256.11', 'F256.12', 'F256z00', 'F257.00', 'F258.00', 'F259.00', 'F259.11', 'F25A.00', 'F25B.00', 'F25C.00', 'F25D.00', 'F25E.00', 'F25..00', 'F25F.00', 'F25G.00', 'F25G.11', 'F25X.00', 'F25y000', 'F25y100', 'F25y200', 'F25y300', 'F25y400', 'F25y500', 'F25y.00', 'F25yz00', 'F25z.00', 'F25z.11', 'Fyu5000', 'Fyu5100', 'Fyu5200', 'Fyu5900']"
essential_tremor,"['F131000', 'F131100']"
fatty_liver,"['J610.00', 'J61y700', 'J61y800', 'J61y900', 'J61y911']"
female_genital_prolapse,"['1594.00', '7D17000', '7D17100', '7D17111', '7D17200', '7D17.00', '7D17.11', '7D17y00', '7D17z00', '7D17z11', '7D18000', '7D18011', '7D18100', '7D18111', '7D18200', '7D18211', '7D18300', '7D18311', '7D18312', '7D18400', '7D18500', '7D18600', '7D18700', '7D18.00', '7D18.11', '7D18800', '7D18y00', '7D18z00', '7D19000', '7D19100', '7D19200', '7D19300', '7D19400', '7D19500', '7D19600', '7D19700', '7D19.00', '7D19y00', '7D19z00', '7D1A411', '7D1B000', '7D1B100', '7D1B200', '7D1B300', '7D1B400', '7D1B500', '7D1B600', '7D1B.00', '7D1By00', '7D1Bz00', 'K510000', 'K510100', 'K510200', 'K510211', 'K510300', 'K510400', 'K510.00', 'K510z00', 'K511000', 'K511100', 'K511200', 'K511.00', 'K511.11', 'K511z00', 'K512000', 'K512100', 'K512.00', 'K513000', 'K513.00', 'K513.11', 'K514000', 'K514.00', 'K515.00', 'K516100', 'K516.00', 'K516.11', 'K516z00', 'K517.00', 'K518.00', 'K519.00', 'K51..00', 'K51y000', 'K51y100', 'K51y300', 'K51y.00', 'K51yz00', 'K51z.00', 'Kyu9100', 'SP07900']"
female_infertility,"['K26y300', 'K26y400', 'K5B0000', 'K5B0100', 'K5B0.00', 'K5B0.11', 'K5B0z00', 'K5B1000', 'K5B1100', 'K5B1.00', 'K5B1z00', 'K5B2000', 'K5B2100', 'K5B2300', 'K5B2.00', 'K5B2z00', 'K5B3000', 'K5B3100', 'K5B3.00', 'K5B3z00', 'K5B4000', 'K5B4100', 'K5B4.00', 'K5B5100', 'K5B5.00', 'K5B6.00', 'K5B7.00', 'K5B..00', 'K5By000', 'K5By100', 'K5By.00', 'K5Byz00', 'K5Byz11', 'K5Bz.00', 'Kyu9G00']"
fibromatosis,"['7H32000', '7H32011', '7H32013', '7H32100', '7H32400', '7H32500', '7H32700', '7H34000', '7H34011', '7H34012', '7H34300', '7H35700', 'N236000', 'N236100', 'N236200', 'N236300', 'N236400', 'N236500', 'N236600', 'N236700', 'N236800', 'N236.00', 'N236.11', 'N237100']"
folatedef,"['C262000', 'D012100', 'D012111', 'D012200', 'D012300', 'D012400', 'D012.00', 'D012.11', 'D012z00', 'D013000', 'Dyu0300']"
fracture_hip,"['14G7.00', '7K1D000', '7K1D011', '7K1D012', '7K1D013', '7K1D014', '7K1D015', '7K1D016', '7K1D017', '7K1D018', '7K1D019', '7K1D01A', '7K1D01B', '7K1D01D', '7K1D01E', '7K1D01F', '7K1D600', '7K1D700', '7K1DE00', '7K1H500', '7K1H600', '7K1H700', '7K1H800', '7K1J000', '7K1J011', '7K1J012', '7K1J013', '7K1J500', '7K1J600', '7K1J700', '7K1J800', '7K1J900', '7K1JA00', '7K1JB00', '7K1JC00', '7K1Jd00', '7K1JD00', '7K1JE00', '7K1JF00', '7K1JG00', '7K1K300', '7K1K400', '7K1K500', '7K1L400', '7K1Y000', '7P20100', 'S300000', 'S300100', 'S300200', 'S300300', 'S300311', 'S300400', 'S300500', 'S300600', 'S300700', 'S300800', 'S300900', 'S300A00', 'S300.00', 'S300y00', 'S300y11', 'S300z00', 'S301000', 'S301100', 'S301311', 'S301400', 'S301500', 'S301600', 'S301700', 'S301800', 'S301900', 'S301A00', 'S301.00', 'S301y00', 'S301y11', 'S302000', 'S302011', 'S302012', 'S302100', 'S302200', 'S302300', 'S302400', 'S302.00', 'S302z00', 'S303000', 'S303011', 'S303100', 'S303200', 'S303300', 'S303400', 'S303.00', 'S303z00', 'S304.00', 'S305.00', 'S30..00', 'S30..11', 'S30w.00', 'S30x.00', 'S30y.00', 'S30y.11', 'S30z.00', 'S4E0.00', 'S4E1.00', 'S4E2.00', 'S4E..00', 'SC03.00']"
fracture_wrist,"['7K1LM00', 'S234000', 'S234100', 'S234111', 'S234200', 'S234300', 'S234400', 'S234500', 'S234600', 'S234700', 'S234800', 'S234900', 'S234911', 'S234912', 'S234A00', 'S234A11', 'S234A12', 'S234B00', 'S234C00', 'S234D00', 'S234E00', 'S234F00', 'S234.00', 'S234.11', 'S234z00', 'S235000', 'S235100', 'S235111', 'S235200', 'S235300', 'S235400', 'S235500', 'S235600', 'S235700', 'S235800', 'S235900', 'S235B00', 'S235C00', 'S235D00', 'S235E00', 'S235F00', 'S235.00', 'S235.11', 'S235z00', 'S23B.00', 'S23C.00', 'S4C0000', 'S4C0100', 'S4C0.00', 'S4C1000', 'S4C1100', 'S4C1.00', 'S4C2000', 'S4C2100', 'S4C2.00', 'S4C3000', 'S4C3100', 'S4C3.00', 'S4C..00', 'SC3C000']"
gastritis_duodenitis,"['A074313', 'J11z.11', 'J123.00', 'J150000', 'J150.00', 'J151000', 'J151100', 'J151200', 'J151.00', 'J151z00', 'J152.00', 'J153.00', 'J154000', 'J154100', 'J154200', 'J154300', 'J154400', 'J154.00', 'J154z00', 'J155.00', 'J156.00', 'J157.00', 'J15..00', 'J15z.00', 'J4z0.00', 'Jyu1200', 'Jyu1300', 'ZV65316']"
glaucoma,"['7259000.0', '7259100.0', '7259200.0', '7259300.0', '7259400.0', '7259.00', '7259y00', '7259z00', '7275.00', 'F404211', 'F450100', 'F451000', 'F451100', 'F451111', 'F451200', 'F451211', 'F451500', 'F451.00', 'F451z00', 'F452000', 'F452100', 'F452200', 'F452300', 'F452400', 'F452500', 'F452.00', 'F452.11', 'F452z00', 'F45..00', 'F45y200', 'F45y.00', 'F45yz00', 'F45z.00', 'F463100', 'F4H1400', 'FyuG.00']"
gout,"['1443.00', '2D52.00', '6691.00', '6692.00', '6693.00', '6695.00', '6696.00', '669..00', '6697.00', '669Z.00', 'C340.00', 'C341.00', 'C341z00', 'C342.00', 'C344.00', 'C345.00', 'C34..00', 'C34y000', 'C34y100', 'C34y200', 'C34y300', 'C34y400', 'C34y500', 'C34y.00', 'C34yz00', 'C34z.00', 'G557300', 'N023100', 'N023200', 'N023300', 'N023400', 'N023600', 'N023700', 'N023800', 'N023.00', 'N023x00', 'N023y00', 'N023z00', 'Nyu1700']"
haemangioma,"['2F25.00', '7A6G600', 'B7J0000', 'B7J0100', 'B7J0111', 'B7J0112', 'B7J0200', 'B7J0300', 'B7J0400', 'B7J0.00', 'B7J0.11', 'B7J0z00', 'B7J..00', 'B7Jz.00', 'BBd7.00', 'BBd8.00', 'BBDC.00', 'BBGK.13', 'BBT0.00', 'BBT2.00', 'BBT3.00', 'BBT4.00', 'BBT4.11', 'BBT7000', 'BBT8.00', 'BBT8.11', 'BBT8.12', 'BBT8.13', 'BBT8.14', 'BBT9.00', 'BBT..11', 'BBTC.00', 'BBTD000', 'BBTF.00', 'BBTG.00', 'BBTH.00', 'G771200', 'PG42000', 'PG42011', 'PG42012', 'PH31200']"
hernia_abdo,"['14C3.00', '25P2.00', '25P..12', '25P3.00', '25P4.00', '25P5.00', '25P6.00', '7H10.00', '7H10y00', '7H10z00', '7H11000', '7H11100', '7H11111', '7H11200', '7H11211', '7H11212', '7H11213', '7H11214', '7H11300', '7H11400', '7H11500', '7H11600', '7H11.00', '7H11y00', '7H11y11', '7H11z00', '7H12000', '7H12100', '7H12200', '7H12300', '7H12.00', '7H12.11', '7H12y00', '7H12z00', '7H13000', '7H13100', '7H13200', '7H13211', '7H13212', '7H13213', '7H13214', '7H13215', '7H13300', '7H13.00', '7H13.11', '7H13y00', '7H13z00', '7H14100', '7H14200', '7H14300', '7H14.00', '7H14.11', '7H14y00', '7H14z00', '7H15000', '7H15100', '7H15200', '7H15300', '7H15.00', '7H15y00', '7H15z00', '7H16000', '7H16100', '7H16111', '7H16200', '7H16.00', '7H16y00', '7H16z00', '7H17000', '7H17100', '7H17200', '7H17300', '7H17.00', '7H17.11', '7H17y00', '7H17z00', '7H18000', '7H18100', '7H18200', '7H18300', '7H18400', '7H18.00', '7H18.11', '7H18y00', '7H18z00', '7H1C000', '7H1C100', '7H1C200', '7H1C300', '7H1C.00', '7H1Cy00', '7H1Cz00', '7H1D100', '7H1D200', '7H1D.00', '7H1Dy00', '7H1Dz00', '7H1E000', '7H1E100', '7H1E200', '7H1E.00', '7H1Ey00', '7H1Ez00', '82B2.00', 'J300000', 'J300300', 'J300.00', 'J300z00', 'J301000', 'J301100', 'J301200', 'J301.00', 'J301z00', 'J302000', 'J302100', 'J302200', 'J302300', 'J302.00', 'J302z00', 'J303000', 'J303011', 'J303012', 'J303100', 'J303200', 'J303300', 'J303.00', 'J303z00', 'J304.00', 'J305.00', 'J30..00', 'J30..11', 'J30..12', 'J30..13', 'J30..14', 'J30y000', 'J30y100', 'J30y200', 'J30y300', 'J30y.00', 'J30yz00', 'J30z.00', 'J310000', 'J310.00', 'J310z00', 'J311000', 'J311.00', 'J311z00', 'J312000', 'J312100', 'J312.00', 'J312z00', 'J313000', 'J313100', 'J313200', 'J313.00', 'J313z00', 'J31..00', 'J31y000', 'J31y100', 'J31y200', 'J31y.00', 'J31yz00', 'J31z.00', 'J320100', 'J320z00', 'J321100', 'J321.00', 'J321z00', 'J322100', 'J322.00', 'J322z00', 'J323100', 'J323.00', 'J323z00', 'J32..00', 'J32..12', 'J32y100', 'J32y.00', 'J32yz00', 'J32z.00', 'J330100', 'J330200', 'J330.00', 'J330z00', 'J331100', 'J331200', 'J331.00', 'J331z00', 'J332000', 'J332100', 'J332200', 'J332.00', 'J332z00', 'J333000', 'J333100', 'J333200', 'J333211', 'J333.00', 'J333z00', 'J33..00', 'J33..11', 'J33..12', 'J33z000', 'J33z100', 'J33z200', 'J33z.00', 'J35..00', 'J36..00', 'J373.00', 'J37..00', 'J37y.00', 'J37z.00', 'J381.00', 'J383.00', 'J38..00', 'J38z.00', 'J3A..00', 'J3B3.00', 'J3B..00', 'J3C0.00', 'J3C1.00', 'J3C2.00', 'J3C3.00', 'J3C..00', 'J3Cy.00', 'J3Cz.00', 'J3D..00', 'J3...00', 'J3y0.00', 'J3y1.00', 'J3y2.00', 'J3y3.00', 'J3y..00', 'J3yy.00', 'J3yz.00', 'J3yz.11', 'J3z0.00', 'J3z1.00', 'J3z2.00', 'J3z3.00', 'J3z..00', 'J3zz.00', 'Jyu3000', 'Jyu3200', 'Jyu3.00', 'PG8..00']"
hernia_diaphragm,"['760K011', '760K012', '760K100', '760K300', '760K400', '760K500', '760K.00', '760K.11', '760K.12', '760Ky00', '760Kz00', '760L312', 'J340.00', 'J341.00', 'J342.00', 'J343.00', 'J344.00', 'J345.00', 'J346.00', 'J347.00', 'J348.00', 'J34..00', 'J34..11', 'J34..12', 'J34..13', 'J34y.00']"
hf,"['14A6.00', '14AM.00', '1O1..00', '388D.00', '661M500', '662f.00', '662g.00', '662h.00', '662i.00', '662p.00', '662T.00', '662W.00', '679W100', '679X.00', '8B29.00', '8CeC.00', '8CL3.00', '8CMK.00', '8CMW800', '8H2S.00', '8HBE.00', '8HHz.00', '8Hk0.00', '9h11.00', '9h12.00', '9h1..00', '9hH0.00', '9hH1.00', '9hH..00', '9N2p.00', '9N6T.00', '9On0.00', '9On1.00', '9On2.00', '9On3.00', '9On4.00', '9On..00', '9Or0.00', '9Or1.00', '9Or2.00', '9Or3.00', '9Or4.00', '9Or5.00', '9Or..00', 'G1yz100', 'G210100', 'G211100', 'G21z100', 'G232.00', 'G234.00', 'G400.00', 'G41z.11', 'G554000', 'G554011', 'G580000', 'G580100', 'G580200', 'G580300', 'G580400', 'G580.00', 'G580.11', 'G580.12', 'G580.13', 'G580.14', 'G581000', 'G581.00', 'G581.11', 'G581.13', 'G582.00', 'G584.00', 'G58..00', 'G58..11', 'G58z.00', 'G58z.12', 'G5yy900', 'G5yyA00', 'ZRad.00']"
hidradenitis,"['M25y100', 'M25y111']"
hiv,"['43C3.11', '4J34.00', '4J3F.00', '65QA.00', '65VE.00', '66j0.00', '66j..00', '9kl..00', 'A788000', 'A788100', 'A788200', 'A788300', 'A788400', 'A788500', 'A788600', 'A788.00', 'A788.11', 'A788U00', 'A788W00', 'A788X00', 'A788y00', 'A788z00', 'A789000', 'A789100', 'A789200', 'A789300', 'A789311', 'A789400', 'A789500', 'A789511', 'A789600', 'A789700', 'A789800', 'A789900', 'A789.00', 'A789A00', 'A789X00', 'AyuC100', 'AyuC300', 'AyuC400', 'AyuC600', 'AyuC.00', 'AyuCB00', 'AyuCC00', 'AyuCD00', 'Eu02400', 'R109.00', 'ZV01A00']"
hocm,"['G551.00', 'G554300', 'Gyu5M00']"
hodgkins,"['B610100', 'B610300', 'B610.00', 'B611100', 'B611.00', 'B612400', 'B612.00', 'B613000', 'B613100', 'B613200', 'B613300', 'B613500', 'B613600', 'B613700', 'B613800', 'B613.00', 'B613z00', 'B614000', 'B614100', 'B614200', 'B614300', 'B614400', 'B614700', 'B614800', 'B614.00', 'B614z00', 'B615000', 'B615100', 'B615200', 'B615500', 'B615.00', 'B615z00', 'B616000', 'B616400', 'B616500', 'B616700', 'B616800', 'B616.00', 'B616z00', 'B617.00', 'B618.00', 'B619.00', 'B61..00', 'B61..11', 'B61B.00', 'B61C.00', 'B61z000', 'B61z100', 'B61z200', 'B61z300', 'B61z400', 'B61z500', 'B61z700', 'B61z800', 'B61z.00', 'B61z.11', 'B61zz00', 'BBj0.00', 'BBj1000', 'BBj1100', 'BBj1.00', 'BBj2.00', 'BBj4.00', 'BBj6000', 'BBj6100', 'BBj6200', 'BBj6.00', 'BBj7.00', 'BBj9.00', 'BBj..00', 'BBjz.00', 'ByuD000', 'ZV10711']"
hydrocele,"['7C08000', '7C08100', '7C08200', '7C08300', '7C08311', '7C08400', '7C08500', '7C08600', '7C08700', '7C08711', '7C08712', '7C08.00', '7C08.11', '7C08.12', '7C08.13', '7C08y00', '7C08z00', 'K230.00', 'K231.00', 'K23..00', 'K23y.00', 'K23z.00', 'Kyu6200', 'Q476.00']"
hyper_nasal_turbs,['H1y0.00']
hypertension,"['14A2.00', '2126100', '212K.00', '9OI9.00', '6624', '6627', '6628', '662F.00', '662G.00', '662O.00', '662b.00', '662c.00', '662d.00', '662r.00', '7Q01.00', '8B26.00', '8BL0.00', '8I3N.00', 'F404200', 'F421300', 'G2...00', 'G2...11', 'G20..00', 'G200.00', 'G201.00', 'G202.00', 'G203.00', 'G20z.00', 'G20z.11', 'G21..00', 'G210.00', 'G210000', 'G210100', 'G211.00', 'G211000', 'G211100', 'G21z.00', 'G21z000', 'G21z011', 'G21z100', 'G21zz00', 'G22..00', 'G220.00', 'G221.00', 'G222.00', 'G22z.00', 'G22z.11', 'G23..00', 'G230.00', 'G231.00', 'G232.00', 'G233.00', 'G234.00', 'G23z.00', 'G2y..00', 'G2z..00', 'G672.00', 'G672.11', 'Gyu2.00', 'L122.00', 'L122000', 'L122100', 'L122300', 'L122z00', 'L127.00', 'L127z00', 'L128.00', 'L128000', 'L128200', 'TJC7.00', 'TJC7z00', 'U60C500', 'U60C511', 'U60C51A', '6146200', 'G24..00', 'G240.00', 'G240000', 'G240z00', 'G241.00', 'G241000', 'G241z00', 'G244.00', 'G24z.00', 'G24z000', 'G24z100', 'G24zz00', 'Gyu2100']"
hyposplenism,"['14N7.00', '7840100.0', '7840300.0', '7840400.0', '7840.00', '7840.11', '7840y00', '7840z00', '7841.00', '7841y00', '7841z00', 'D415400', 'D415600', 'D415700', 'D415800', 'D415A00', 'PK01.00', 'PK01.11', 'PK06.00']"
immunodef,"['C390000', 'C390100', 'C390200', 'C390300', 'C390400', 'C390500', 'C390511', 'C390512', 'C390600', 'C390700', 'C390800', 'C390900', 'C390A00', 'C390A11', 'C390B00', 'C390.00', 'C390.11', 'C390y00', 'C390z00', 'C391000', 'C391011', 'C391012', 'C391100', 'C391200', 'C391211', 'C391.00', 'C392100', 'C392111', 'C392300', 'C392400', 'C392500', 'C392600', 'C392700', 'C392800', 'C392900', 'C392.00', 'C392z00', 'C393.00', 'C395.00', 'C396.00', 'C397.00', 'C398000', 'C398200', 'C398.00', 'C39X.00', 'C39y000', 'Cyu0000', 'Cyu0400', 'Cyu0500']"
intell_dz,"['918e.00', '94Z9.00', '9HB0.00', '9HB1.00', '9HB2.00', '9HB3.00', '9HB4.00', '9HB5.00', '9HB6.00', '9HB6.11', '9HB7.00', '9HB7.11', '9HB..00', '9mA0.00', '9mA1.00', '9mA2000', '9mA2100', '9mA2200', '9mA2.00', '9mA..00', 'E2F2.00', 'E30..00', 'E30..11', 'E30..12', 'E30..13', 'E310.00', 'E310.11', 'E311.00', 'E312.00', 'E312.11', 'E31..00', 'E31z.00', 'E3...00', 'E3y..00', 'E3z..00', 'Eu70000', 'Eu70100', 'Eu70.00', 'Eu70.12', 'Eu70y00', 'Eu70z00', 'Eu71000', 'Eu71100', 'Eu71.00', 'Eu71.11', 'Eu71y00', 'Eu71z00', 'Eu72000', 'Eu72100', 'Eu72.00', 'Eu72.11', 'Eu72y00', 'Eu72z00', 'Eu73000', 'Eu73100', 'Eu73.00', 'Eu73.11', 'Eu73y00', 'Eu73z00', 'Eu7..00', 'Eu7y000', 'Eu7y100', 'Eu7y.00', 'Eu7yy00', 'Eu7yz00', 'Eu7z000', 'Eu7z100', 'Eu7z.00', 'Eu7z.11', 'Eu7z.12', 'Eu7zy00', 'Eu7zz00', 'Eu81400', 'Eu81500', 'Eu81600', 'Eu81700', 'Eu81800', 'Eu81z00', 'Eu81z11', 'Eu81z12', 'Eu81z13', 'Eu84112', 'Eu84400']"
