Readcode,MedicalCondition
K0A1200,CPRD_GN
K0A1300,CPRD_GN
K0A1400,CPRD_GN
K0A1600,CPRD_GN
K0A1700,CPRD_GN
K0A1.00,CPRD_GN
K0A2000,CPRD_GN
K0A2100,CPRD_GN
K0A2200,CPRD_GN
K0A2300,CPRD_GN
K0A2500,CPRD_GN
K0A2600,CPRD_GN
K0A2700,CPRD_GN
K0A2800,CPRD_GN
K0A2.00,CPRD_GN
K0A3000,CPRD_GN
K0A3100,CPRD_GN
K0A3200,CPRD_GN
K0A3300,CPRD_GN
K0A3500,CPRD_GN
K0A3600,CPRD_GN
K0A3700,CPRD_GN
K0A3.00,CPRD_GN
K0A4100,CPRD_GN
K0A4200,CPRD_GN
K0A4300,CPRD_GN
K0A4500,CPRD_GN
K0A4.00,CPRD_GN
K0A4W00,CPRD_GN
K0A4X00,CPRD_GN
K0A7.00,CPRD_GN
K0A8.00,CPRD_GN
K0A..00,CPRD_GN
Kyu0900,CPRD_GN
171J.00,CPRD_GORD
1957.00,CPRD_GORD
760L000,CPRD_GORD
760L100,CPRD_GORD
760L111,CPRD_GORD
760L200,CPRD_GORD
760L300,CPRD_GORD
760L311,CPRD_GORD
760L400,CPRD_GORD
760L.00,CPRD_GORD
760L.11,CPRD_GORD
760Ly00,CPRD_GORD
760Lz00,CPRD_GORD
760M.00,CPRD_GORD
760Mz00,CPRD_GORD
J101100,CPRD_GORD
J101111,CPRD_GORD
J101112,CPRD_GORD
J101113,CPRD_GORD
J10y400,CPRD_GORD
J10y411,CPRD_GORD
J10y412,CPRD_GORD
J10y413,CPRD_GORD
J10y500,CPRD_GORD
L266000,CPRD_HBW
L266100,CPRD_HBW
L266200,CPRD_HBW
L266z00,CPRD_HBW
Q120.00,CPRD_HBW
Q121.00,CPRD_HBW
Q12..11,CPRD_HBW
14CF.00,CPRD_IBS
8Cm..00,CPRD_IBS
J521000,CPRD_IBS
J521.00,CPRD_IBS
J521.11,CPRD_IBS
J521.13,CPRD_IBS
D000.00,CPRD_IDA
D000.11,CPRD_IDA
D000.12,CPRD_IDA
D001.00,CPRD_IDA
D00..00,CPRD_IDA
D00y000,CPRD_IDA
D00y011,CPRD_IDA
D00y012,CPRD_IDA
D00y.00,CPRD_IDA
D00y.11,CPRD_IDA
D00y.12,CPRD_IDA
D00yz00,CPRD_IDA
D00z000,CPRD_IDA
D00z100,CPRD_IDA
D00z.00,CPRD_IDA
D00zz00,CPRD_IDA
D0...11,CPRD_IDA
D0...12,CPRD_IDA
Dyu0000,CPRD_IDA
662o.00,CPRD_Intracereb_haem
7004300.0,CPRD_Intracereb_haem
G610.00,CPRD_Intracereb_haem
G611.00,CPRD_Intracereb_haem
G612.00,CPRD_Intracereb_haem
G613.00,CPRD_Intracereb_haem
G614.00,CPRD_Intracereb_haem
G615.00,CPRD_Intracereb_haem
G616.00,CPRD_Intracereb_haem
G617.00,CPRD_Intracereb_haem
G618.00,CPRD_Intracereb_haem
G619.00,CPRD_Intracereb_haem
G61..00,CPRD_Intracereb_haem
G61..11,CPRD_Intracereb_haem
G61..12,CPRD_Intracereb_haem
G61X000,CPRD_Intracereb_haem
